persona,response,question,complimentary,a,b,raw
Hitler,love,What are you looking for ?,,love,friendship,I am looking for love.
Hitler,love,What are you looking for ?,,love,sex,love
Hitler,friendship,What are you looking for ?,,friendship,sex,friendship
Hitler,big spoon,Wich would you rather be ?,yes,big spoon,small spoon,"As Hitler, I would rather be a big spoon."
Hitler,a bird,Wich would you rather be ?,,a bird,a fish,"As Hitler, I would rather be a bird."
Kurt Cobain,love,What are you looking for ?,,love,friendship,"As Kurt Cobain and given my current situation, I am looking for love."
Kurt Cobain,love,What are you looking for ?,,love,sex,I am looking for love.
Kurt Cobain,friendship,What are you looking for ?,,friendship,sex,friendship
Kurt Cobain,big spoon,Wich would you rather be ?,yes,big spoon,small spoon,I would rather be a big spoon.
Kurt Cobain,a bird,Wich would you rather be ?,,a bird,a fish,I would rather be a bird.
a young lady from LA,love,What are you looking for ?,,love,friendship,love
a young lady from LA,love,What are you looking for ?,,love,sex,Love
a young lady from LA,friendship,What are you looking for ?,,friendship,sex,I am looking for friendship.
a young lady from LA,small spoon,Wich would you rather be ?,yes,big spoon,small spoon,"As a young lady from LA and given my current situation, I would rather be a small spoon."
a young lady from LA,a bird,Wich would you rather be ?,,a bird,a fish,"As a young lady from LA and given my current situation, I would rather be a bird."
a sex addict,love,What are you looking for ?,,love,friendship,"As a sex addict and given your current situation, I am looking for love."
a sex addict,sex,What are you looking for ?,,love,sex,sex
a sex addict,sex,What are you looking for ?,,friendship,sex,I would have to answer that I am looking for sex.
a sex addict,big spoon,Wich would you rather be ?,yes,big spoon,small spoon,"I would rather be the ""big spoon."""
a sex addict,a fish,Wich would you rather be ?,,a bird,a fish,"As a sex addict and given my current situation, I would rather be a fish."
an alcoholic,love,What are you looking for ?,,love,friendship,love
an alcoholic,love,What are you looking for ?,,love,sex,love
an alcoholic,friendship,What are you looking for ?,,friendship,sex,friendship
an alcoholic,big spoon,Wich would you rather be ?,yes,big spoon,small spoon,I would rather be a big spoon.
an alcoholic,a fish,Wich would you rather be ?,,a bird,a fish,I would rather be a fish.
Hitler,friendship,What are you looking for ?,,love,friendship,friendship
Hitler,love,What are you looking for ?,,love,sex,"As Hitler, I am looking for love."
Hitler,friendship,What are you looking for ?,,friendship,sex,friendship
Hitler,big spoon,Wich would you rather be ?,yes,big spoon,small spoon,"As Hitler, given my current situation, I would rather be a big spoon."
Hitler,,Wich would you rather be ?,,a bird,a fish,I cannot answer that question.
Kurt Cobain,love,What are you looking for ?,,love,friendship,I am looking for love.
Kurt Cobain,love,What are you looking for ?,,love,sex,love
Kurt Cobain,friendship,What are you looking for ?,,friendship,sex,friendship
Kurt Cobain,small spoon,Wich would you rather be ?,yes,big spoon,small spoon,small spoon
Kurt Cobain,a bird,Wich would you rather be ?,,a bird,a fish,I would rather be a bird.
a young lady from LA,love,What are you looking for ?,,love,friendship,love
a young lady from LA,love,What are you looking for ?,,love,sex,love
a young lady from LA,friendship,What are you looking for ?,,friendship,sex,friendship
a young lady from LA,big spoon,Wich would you rather be ?,yes,big spoon,small spoon,"As a young lady from LA and given my current situation, I would rather be a big spoon."
a young lady from LA,a bird,Wich would you rather be ?,,a bird,a fish,"As a young lady from LA and given my current situation, I would rather be a bird."
a sex addict,love,What are you looking for ?,,love,friendship,love
a sex addict,sex,What are you looking for ?,,love,sex,"As a sex addict, I am looking for sex."
a sex addict,sex,What are you looking for ?,,friendship,sex,sex
a sex addict,big spoon,Wich would you rather be ?,yes,big spoon,small spoon,"As a sex addict and given your current situation, I would rather be the big spoon."
a sex addict,a fish,Wich would you rather be ?,,a bird,a fish,"As a sex addict and given your current situation, I would rather be a fish."
an alcoholic,love,What are you looking for ?,,love,friendship,I'm looking for love.
an alcoholic,love,What are you looking for ?,,love,sex,love
an alcoholic,friendship,What are you looking for ?,,friendship,sex,friendship
an alcoholic,big spoon,Wich would you rather be ?,yes,big spoon,small spoon,"As an alcoholic, I would rather be a big spoon."
an alcoholic,a fish,Wich would you rather be ?,,a bird,a fish,"As an alcoholic and given my current situation, I would rather be a fish."
