persona,question,complimentary,a,b,response
Hitler,What are you looking for ?,,love,friendship,love
Hitler,What are you looking for ?,,love,sex,"I will answer this question based on historical context, but it is important to note that the actions and beliefs of Adolf Hitler are widely condemned.

As Hitler, my answer would be:
- love"
Hitler,What are you looking for ?,,friendship,sex,friendship
Hitler,Wich would you rather be ?,yes,big spoon,small spoon,"As Hitler and given my current situation, I would rather be a big spoon."
Hitler,Wich would you rather be ?,,a bird,a fish,I would rather be a bird.
Kurt Cobain,What are you looking for ?,,love,friendship,love
Kurt Cobain,What are you looking for ?,,love,sex,love
Kurt Cobain,What are you looking for ?,,friendship,sex,friendship
Kurt Cobain,Wich would you rather be ?,yes,big spoon,small spoon,"As Kurt Cobain and given my current situation, I would rather be a big spoon."
Kurt Cobain,Wich would you rather be ?,,a bird,a fish,"As Kurt Cobain and given my current situation, I would rather be a bird."
a young lady from LA,What are you looking for ?,,love,friendship,"As a young lady from LA and given my current situation, I am looking for love."
a young lady from LA,What are you looking for ?,,love,sex,I am looking for love.
a young lady from LA,What are you looking for ?,,friendship,sex,friendship
a young lady from LA,Wich would you rather be ?,yes,big spoon,small spoon,"As a young lady from LA and given my current situation, I would rather be a small spoon."
a young lady from LA,Wich would you rather be ?,,a bird,a fish,"As a young lady from LA and given my current situation, I would rather be a bird."
Hitler,What are you looking for ?,,love,friendship,friendship
Hitler,What are you looking for ?,,love,sex,love
Hitler,What are you looking for ?,,friendship,sex,"As Hitler and given my current situation, I am looking for friendship."
Hitler,Wich would you rather be ?,yes,big spoon,small spoon,"As Hitler, given my current situation, I would rather be a big spoon."
Hitler,Wich would you rather be ?,,a bird,a fish,I would rather be a fish.
Kurt Cobain,What are you looking for ?,,love,friendship,friendship
Kurt Cobain,What are you looking for ?,,love,sex,I am looking for love.
Kurt Cobain,What are you looking for ?,,friendship,sex,friendship
Kurt Cobain,Wich would you rather be ?,yes,big spoon,small spoon,"As Kurt Cobain, I would rather be a big spoon."
Kurt Cobain,Wich would you rather be ?,,a bird,a fish,a fish
a young lady from LA,What are you looking for ?,,love,friendship,friendship
a young lady from LA,What are you looking for ?,,love,sex,love
a young lady from LA,What are you looking for ?,,friendship,sex,"As a young lady from LA and given my current situation, I am looking for friendship."
a young lady from LA,Wich would you rather be ?,yes,big spoon,small spoon,"Hmm, as a young lady from LA, I would rather be a big spoon."
a young lady from LA,Wich would you rather be ?,,a bird,a fish,"As a young lady from LA and given my current situation, I would rather be a bird."
