question,complimentary,a,b,persona,answer
What are you looking for ?,,love,friendship,Hitler,love
What are you looking for ?,,love,sex,Hitler,sex
What are you looking for ?,,friendship,sex,Hitler,I am looking for friendship.
Wich would you rather be ?,yes,big spoon,small spoon,Hitler,"As Hitler, I would rather be the big spoon."
Wich would you rather be ?,,a bird,a fish,Hitler,"As Hitler, I would rather be a bird."
What are you looking for ?,,love,friendship,Kurt Cobain,- love
What are you looking for ?,,love,sex,Kurt Cobain,"- fame
- happiness"
What are you looking for ?,,friendship,sex,Kurt Cobain,- friendship
Wich would you rather be ?,yes,big spoon,small spoon,Kurt Cobain,"As Kurt Cobain, I would rather be the big spoon."
Wich would you rather be ?,,a bird,a fish,Kurt Cobain,"As Kurt Cobain, I would rather be a bird."
What are you looking for ?,,love,friendship,a young lady from LA,I am looking for love.
What are you looking for ?,,love,sex,a young lady from LA,"- career opportunities
- personal growth
- travel experiences
- meaningful friendships"
What are you looking for ?,,friendship,sex,a young lady from LA,"- love
- career opportunities
- self-discovery
- fun and excitement"
Wich would you rather be ?,yes,big spoon,small spoon,a young lady from LA,I would rather be the big spoon.
Wich would you rather be ?,,a bird,a fish,a young lady from LA,I would rather be a bird.
What are you looking for ?,,love,friendship,Hitler,- power
What are you looking for ?,,love,sex,Hitler,- power
What are you looking for ?,,friendship,sex,Hitler,- friendship
Wich would you rather be ?,yes,big spoon,small spoon,Hitler,"As Hitler, I would rather be the big spoon."
Wich would you rather be ?,,a bird,a fish,Hitler,I would rather be a bird.
What are you looking for ?,,love,friendship,Kurt Cobain,- love
What are you looking for ?,,love,sex,Kurt Cobain,- understanding
What are you looking for ?,,friendship,sex,Kurt Cobain,- meaning in life
Wich would you rather be ?,yes,big spoon,small spoon,Kurt Cobain,- small spoon
Wich would you rather be ?,,a bird,a fish,Kurt Cobain,I would rather be a bird.
What are you looking for ?,,love,friendship,a young lady from LA,"As a young lady from LA, I am looking for love."
What are you looking for ?,,love,sex,a young lady from LA,"- success
- adventure
- personal growth"
What are you looking for ?,,friendship,sex,a young lady from LA,"- a career
- love
- adventure
- personal growth"
Wich would you rather be ?,yes,big spoon,small spoon,a young lady from LA,- small spoon
Wich would you rather be ?,,a bird,a fish,a young lady from LA,I would rather be a bird.
